pageid	primary_platform	platforms
14449719	xbox 360	xbox 360
14452231	sega mega drive/genesis	sega genesis
14461343	arcade game	arcade game,nintendo entertainment system,ms-dos
14465777	playstation 2	playstation 2
14467325	mac os x	macintosh
14469362	microsoft windows	microsoft windows
14476624	xbox	xbox (console)
14477439	playstation 2	playstation 2
14477912	microsoft windows	microsoft windows
14479922	nintendo ds	iphone os,game boy advance,nintendo ds,wii,microsoft windows
14482878	playstation 2	playstation 2,microsoft windows,game boy advance
14484754	ms-dos	dos,microsoft windows
14485966	nintendo ds	nintendo ds
14485995	nintendo ds	nintendo ds
14489671	sega mega drive/genesis	arcade game,amiga,atari st,commodore 64,amstrad cpc,sega master system,sega mega drive/genesis,fm towns,sega saturn,playstation 2,virtual console,personal computer,zx spectrum,cloud computing,onlive,nintendo 3ds
14491489		
14502082	arcade game	arcade,arcade
14532531	ms-dos	amiga,atari st,ms-dos
14541552	wii u	playstation 3,playstation portable,playstation vita,microsoft windows,mac os x,linux,wii u
14549921	microsoft windows	microsoft windows
14551400	zx spectrum	amiga,atari 8-bit,atari st,commodore 64,zx spectrum
14556614	nintendo ds	nintendo ds
14576828	nintendo famicom	family computer disk system
14583811	microsoft windows	microsoft windows
14583988	microsoft windows	windows xp,windows 2000
14590311	zx spectrum	arcade game,zx spectrum,commodore 64,amstrad cpc
14596614	game boy advance	game boy advance
14602473	sega 32x	sega 32x
14605159	sony psp	playstation portable
14627782	mac os x	microsoft windows,mac os x
14632367	mobile game	nintendo entertainment system,msx2,mobile phones
14645696	ios game	microsoft windows,mac os x,ios,android (operating system)
14646473	sony psp	playstation portable
14647028	nintendo 3ds	microsoft windows,mac os x,nintendo ds,nintendo 3ds
14647422	nintendo ds	microsoft windows,mac os x,nintendo ds
14650379	mac os x	microsoft windows,mac os x
14654738	playstation 2	playstation 2
14656124	nintendo super famicom	pc engine,playstation (console),super famicom,sega saturn,microsoft windows,game boy color,mobile phone,playstation portable
14656239	playstation 2	playstation 2
14656427	nintendo ds	playstation 2,nintendo ds
14664331	playstation 3	playstation 2,playstation 3,playstation portable
14695183	nintendo wii	neo geo (console),neo geo cd,virtual console
14695769	playstation 3	playstation 3,xbox 360
14700190	nintendo wii	wiiware,playstation portable,ios,android (operating system),microsoft windows
14705965	sega master system	arcade game,sega master system
14707514	apple ii	apple ii series
14708113	playstation 2	playstation 2,microsoft windows
14708288	microsoft windows	windows 95,windows 98
14713779	microsoft windows	microsoft windows
14717016	sega saturn	ms-dos,microsoft windows,sega saturn
14718535	xbox 360	arcade game,xbox 360
14719403	nintendo wii	arcade game,microsoft windows,xbox 360,wii
14728610	playstation 3	microsoft windows,playstation 3,xbox 360,playstation portable
14731020	nintendo ds	os x,microsoft windows,n-gage (service),nintendo ds,playstation 3,playstation 2,wii,xbox 360
14740388		
14741106	playstation 2	pc,playstation,playstation 2
14741856	nintendo entertainment system	nintendo entertainment system
14741898	arcade game	arcade game,nintendo entertainment system
14743132	blackberry game	blackberry,mobile phone,windows,windows mobile
14746316	game boy advance	game boy advance
14767821	zx spectrum	amstrad cpc,commodore 64,zx spectrum,amiga,atari st,dos,mac os
14770531	playstation 3	playstation 2,playstation 3
14773541	nintendo 3ds	microsoft windows,mac os x,ios,amazon kindle,android (operating system),nintendo 3ds
14781711	sega mega cd	sega cd
14792137	playstation 2	microsoft windows,playstation 2
14812069	nintendo ds	nintendo ds
14820512	microsoft windows	microsoft windows
14828122		
14828851	apple macintosh	apple macintosh,ibm pc compatible,linux,microsoft windows
14833919	playstation	playstation (console),microsoft windows,android (operating system)
14841159	playstation 3	xbox 360,playstation 3
14841966	nintendo game boy	game boy,game boy color
14856891	sega mega drive/genesis	arcade game,sega mega drive
14891364	xbox 360	xbox 360,xbox live arcade
14895312	sega saturn	arcade game,sega saturn,playstation
14901469	sega saturn	arcade game,sega saturn
14901569	playstation 3	microsoft windows,playstation 3,xbox 360
14907729	nintendo ds	nintendo ds
14909816	atari 2600	arcade game,atari 2600
14916504	game boy advance	game boy advance
14917247	microsoft windows	microsoft windows
14917523	game boy color	game boy color
14924978	arcade game	arcade game
14925033	nintendo ds	game boy advance,nintendo ds,nintendo gamecube,playstation 2,playstation portable
14931361	game boy advance	game boy advance
14932835	nintendo ds	nintendo ds
14932984	nintendo wii	game boy color,virtual console
14936592	playstation	playstation (console),microsoft windows
14938293	nintendo ds	nintendo ds,wii,playstation portable,ios (apple)
14945290	microsoft windows	microsoft windows
14962535		
14964007	mac os x	macintosh,windows 3.1x
14964713	microsoft windows	microsoft windows
14967386	playstation 2	microsoft windows,playstation 2,xbox (console),mobile phone
14980314	nintendo ds	nintendo ds
14984425	zx spectrum	amstrad cpc,commodore 64,zx spectrum
14994978	mac os x	microsoft windows,mac os x
14996465	nintendo ds	nintendo ds
15002575	ios game	windows,ios
15018614	microsoft windows	microsoft windows
15022853	nintendo 3ds	wii,nintendo 3ds
15025811	playstation 3	microsoft windows,playstation 3,xbox 360
15026692	nintendo ds	nintendo ds
15028784	mac os x	microsoft windows,mac os x
15035151	nintendo ds	nintendo ds
15036001	nintendo ds	nintendo ds,nintendo ds lite,nintendo dsi,nintendo dsi xl
15040467	microsoft windows	microsoft windows
15049053	sega dreamcast	arcade game,sega naomi,dreamcast,playstation 2
15049370	super nintendo entertainment system	super nintendo entertainment system
15050884	arcade game	arcade game
15056071	playstation 3	microsoft windows,playstation 3
15066669	nintendo wii	microsoft windows,xbox 360,playstation 3,wii,playstation 2
15068491	super nintendo entertainment system snes	super nes,sega genesis
15088766	zx spectrum	amiga,amstrad cpc,atari st,commodore 64,dos,zx spectrum
15089025	commodore 64	amiga,atari st,commodore 64,personal computer,ms-dos
15096337	cross-platform	cross-platform
15109529	playstation 3	playstation 2,playstation 3,xbox 360,mobile phone
15112877	apple macintosh	personal computer,microsoft windows,apple macintosh
15128392		
15131006	nintendo wii	turbografx-16,virtual console
15132605	playstation 3	microsoft windows,mac os x,playstation 3,xbox 360
15135797	nintendo ds	microsoft windows,nintendo ds,mobile telephone,java me
15137928	mobile game	mobile phone
15142102	nintendo 3ds	nintendo ds,nintendo 3ds
15146639	nintendo ds	nintendo ds
15146869	nintendo gamecube	nintendo gamecube
15148323	microsoft windows	microsoft windows
15149673	microsoft windows	microsoft windows
15156806	sony psp	playstation portable
15157924	nintendo ds	nintendo ds,android (operating system),ios,webos,symbian,java me,windows phone
15160295	nintendo ds	blackberry,iphone os,mac os x,mobile phone,nintendo ds,microsoft windows
15161897	playstation 2	playstation 2
15163860	playstation 2	playstation 2
15167275	playstation 3	playstation 3,xbox 360,microsoft windows
15168470	microsoft windows	windows
15172677	nintendo ds	nintendo ds,japan
15177974	xbox 360	xbox 360,xbox live arcade
15191891	playstation 4	microsoft windows,xbox 360,playstation 3,playstation 4
15199726	nintendo ds	nintendo ds,playstation 2,playstation 3,playstation portable,xbox 360,wii,mobile phone
15210288	ms-dos	ms-dos
15211285	microsoft windows	microsoft windows
15211538	ms-dos	ms-dos
15211550	ms-dos	amiga,atari st,dos
15215048	sega game gear	sega master system,game gear
15216628	zx spectrum	amiga,amstrad cpc,amstrad pcw,atari st,atari 8-bit,bbc micro,commodore 64,enterprise (computer),camputers lynx,memotech mtx,msx,nascom,oric-1,ms-dos,zx spectrum
15227234	microsoft windows	microsoft windows
15243871	wii u	wii u
15255153	nintendo wii	sega saturn,playstation (console),playstation 2,playstation network,wii
15263284	pc game	personal computer
15265989	playstation 2	arcade game,playstation 2
15273213	playstation	playstation (console)
15281978	nintendo ds	nintendo ds
15283170	playstation 3	microsoft windows,xbox 360,playstation 3
15284869	nintendo ds	mobile games,ios (apple),ipod games,mac os x,nintendo ds,playstation network,playstation portable,xbox live arcade,n-gage 2.0,wiiware,microsoft windows,zeebo,nintendo dsi,cloud computing,onlive
15307294	playstation 3	microsoft windows,playstation 3,playstation network,xbox 360,xbox live arcade
15307574	playstation 2	arcade game,playstation 2
15307576	playstation 2	arcade game,playstation 2
15307577	playstation 2	arcade game,playstation 2
15307578	playstation 2	arcade game,playstation 2
15308579	microsoft windows	microsoft windows
15315761	microsoft windows	microsoft windows
15316983	arcade game	arcade game
15321981	playstation 3	playstation 3,xbox 360
15324764	nintendo ds	playstation 2,playstation 3,playstation portable,wii,nintendo ds,xbox 360,mobile game
15342067	microsoft windows	microsoft windows
15351115	sega mega drive/genesis	arcade game,mega drive
15357750	microsoft windows	microsoft windows
15364151	nintendo wii	microsoft windows,xbox 360,playstation 3,playstation 2,playstation portable,wii
15364635	ms-dos	atari st,amiga,ms-dos,microsoft windows,ios (apple)
15383639	playstation	playstation (console),game boy advance
15406811	playstation	turbografx-16,playstation
15410973	playstation 2	playstation 2
15411023	zx spectrum	amstrad cpc,amstrad pcw,zx spectrum,msx,commodore 64,commodore 16,commodore plus/4
15412463	microsoft windows	microsoft windows
15413176	nintendo ds	nintendo ds
15419123	zx spectrum	zx spectrum,amstrad cpc,commodore 64,atari st,amiga,ms-dos
15420996	arcade game	arcade game
15422983	zx spectrum	arcade game,amiga,amstrad cpc,atari st,commodore 64,master system,zx spectrum
15423103	playstation 2	ibm pc compatible,playstation 2,freedom of mobile multimedia access,dvd tv game
15448272	nintendo switch	wii,microsoft windows,os x,linux,ios,android (operating system),blackberry os,nintendo switch
15448452	microsoft windows	microsoft windows,zune hd
15457175	sega saturn	arcade game,sega saturn,playstation (console),microsoft windows
15470709	browser game	mac os x,microsoft windows,plug-in (computing)
15479709	sega mega drive/genesis	sega genesis,super nintendo entertainment system
15494379	xbox 360	xbox 360
15496491	zx spectrum	zx spectrum,amstrad cpc,commodore 64
15506991	playstation 3	microsoft windows,playstation 3,xbox 360
15511640	ms-dos	ms-dos
15515325	microsoft windows	microsoft windows
15515542	zx spectrum	zx spectrum
15516034	mac os x	microsoft windows,mac os x
15517540	xbox 360	xbox 360,microsoft windows
15521109	nintendo wii	wii
15521709	nintendo wii	xbox 360,playstation 3,wii
15521944	nintendo ds	nintendo ds
15524056	sega mega drive/genesis	pc-8800 series,x68000,msx2,fm towns,sega genesis,super nintendo entertainment system
15549959	nintendo ds	nintendo ds
15553435	microsoft windows	microsoft windows
15557848	nintendo ds	nintendo ds
15561370	nintendo game boy	game boy,microsoft windows,playstation (console)
15561689	playstation 2	playstation (console),playstation 2
15562456	nintendo wii	wii
15562959	nintendo game boy	nintendo entertainment system,game boy
15574839	linux game	microsoft windows,mac os x,linux
15575300	game boy advance	game boy advance
15583278	game boy advance	game boy advance
15588283	xbox 360	arcade game,xbox 360,ios (apple),android (operating system),microsoft windows
15590955	commodore 64	commodore 64,dos
15593876		
15601820	game boy advance	game boy advance
15605223	sony psp	playstation portable
15609885	mac os x	microsoft windows,mac os x
15621444	zx spectrum	zx spectrum
15630941	nintendo ds	nintendo ds
15634014	nintendo wii	wii
15634160	sony psp	playstation portable
15652223	arcade game	arcade game
15655603	playstation	playstation (console),playstation network
15661550	playstation	playstation (console)
15663971	microsoft windows	microsoft windows
15670457	microsoft windows	microsoft windows
15684617	playstation 2	playstation 2
15698522	arcade game	arcade game
15711325	sega saturn	arcade game,game boy color,playstation (console),playstation 2,sega saturn,microsoft windows,cps changer,java me,playstation network
15719279	nintendo wii	turboduo,sega cd,virtual console,playstation network
15723707	xbox 360	xbox 360,xbox live arcade,microsoft windows
15727974	commodore amiga	amiga
15730863	atari 7800	atari 7800
15731221	nintendo game boy	game boy
15734023	super nintendo entertainment system	super nintendo entertainment system
15750186	ms-dos	ms-dos
15750740	microsoft windows	microsoft windows
15757505	xbox 360	arcade game,xbox 360
15758837	sega dreamcast	microsoft windows,dreamcast
15760318	microsoft windows	microsoft windows
15761589	nintendo ds	nintendo ds,windows mobile,blackberry,iphone
15762013	nintendo wii	wii
15762264	nokia n-gage	iphone,ipod,ipod classic,ipod nano,ipod touch,n-gage (service),windows mobile,lg vu
15766519	playstation	playstation (console)
15769647	nintendo wii	playstation 2,playstation 3,wii,xbox 360,microsoft windows,mac os x
15771161	ios game	microsoft windows,ios
15774601	playstation 3	playstation 3,microsoft windows,xbox 360,onlive
15778343	nintendo ds	playstation 2,wii,xbox 360,nintendo ds,playstation portable
15788718	sega master system	sega master system
15808558	playstation 3	microsoft windows,playstation 3,xbox 360,os x,linux
15815435	nintendo ds	nintendo ds,playstation portable
15820430	pc game	personal computer
15820627	microsoft windows	windows
15837633	playstation 3	arcade game,playstation 3,playstation portable,xbox 360,microsoft windows
15837774	nintendo ds	xbox 360,nintendo ds,nintendo wii
15839597	playstation 3	playstation 3,microsoft windows
15842171	playstation 3	microsoft windows,xbox 360,xbox live arcade,playstation 3,playstation network
15860807	playstation 3	playstation 3,xbox 360
15865401	xbox 360	xbox 360
15866417	nintendo ds	nintendo ds
15868538	xbox 360	xbox 360,xbox live arcade
15868628	xbox 360	microsoft windows,xbox 360,os x
15873474	nintendo wii	xbox 360,playstation 3,playstation portable,playstation 2,wii
15874511	xbox 360	xbox 360,xbox live arcade
15888290	playstation 3	microsoft windows,os x,linux,playstation 3,xbox 360
15888626	nintendo entertainment system	nintendo entertainment system
15897295	nintendo entertainment system	nintendo entertainment system
15902874	super nintendo entertainment system	super nintendo entertainment system
15911951	playstation 2	pc,playstation,playstation 2,playstation,playstation 2
15915369	nintendo ds	nintendo ds,playstation portable,xbox live arcade
15941092	arcade game	arcade game
15943736	xbox 360	xbox 360
15945175	game boy advance	game boy advance
15952615	nintendo wii	wiiware
15956288	pc game	personal computer
15963012	nintendo wii	wii
15964423	xbox 360	personal computer,xbox 360,xbox live arcade
15966203	bbc micro	bbc micro,acorn electron,acorn archimedes,risc pc,microsoft windows
15978056	arcade game	arcade,arcade
15980415	nintendo wii	playstation 2,wii,xbox 360
15984507	ios game	mobile phone,iphone,ipod
15996092	microsoft windows	windows 95
16001600	microsoft windows	microsoft windows
16003957	nintendo ds	nintendo ds
16004790	playstation 3	playstation 3,xbox 360
16015876	microsoft windows	microsoft windows
16021067	ios game	microsoft windows,ios,android (operating system),windows phone
16029144	zx spectrum	amstrad cpc,commodore 64,atari 8-bit family,zx spectrum
16032601	nintendo ds	nintendo ds,wii
16040910	nintendo wii	microsoft windows,classic mac os,wii,ios,linux,steam (software)
16048692	super nintendo entertainment system	super nintendo entertainment system
16052512	playstation 2	playstation,playstation 2,playstation,playstation 2
16058407	sega mega drive/genesis	super nintendo entertainment system,sega genesis
16082726	playstation 3	playstation 3,microsoft windows,xbox 360
16103056	playstation 3	cloud computing,onlive,microsoft windows,playstation 3,xbox 360
16111059	microsoft windows	microsoft windows
16121925	nintendo entertainment system	nintendo entertainment system
16125841	playstation	playstation (console),ms-dos
16133177	pc game	personal computer
16138367	commodore 64	commodore 64,amiga,atari st
16150545	nintendo wii	wii,wiiware,ios,android (operating system)
16154738	arcade game	arcade game
16167845	nintendo wii	wii,playstation 2,personal computer
16170408	nintendo wii	internet game,wii,wiiware,ios (apple)
16173789	nintendo ds	nintendo ds
16180150	ms-dos	commodore amiga,dos
16184692	microsoft windows	microsoft windows
16185754	ms-dos	commodore amiga,atari st,dos
16187734	apple ii	dos,amiga,atari st,apple ii,commodore 64
16227344	nintendo ds	nintendo ds,wii
16234708	super nintendo entertainment system	super nintendo entertainment system
16235434	linux game	linux,mac os x,microsoft windows
16235839	ms-dos	dos,mobile phones
16243840	playstation 4	microsoft windows,playstation 3,playstation 4,xbox 360,xbox one,os x
16252856	apple ii	apple ii
16253958	silicon graphics	silicon graphics
16255563	pc game	microsoft windows,mac os x,linux,cloud computing,onlive
16259589	microsoft windows	windows xp,windows vista
16268609	playstation	nintendo entertainment system,playstation (console),mobile game
16271137	nintendo ds	nintendo ds
16274127	super nintendo entertainment system	super nintendo entertainment system
16279770	microsoft windows	microsoft windows
16283235	nintendo wii	nintendo entertainment system,virtual console
16285545	nintendo game boy	game boy
16286837	xbox 360	xbox 360,xbox live arcade
16288423	zx spectrum	zx spectrum,msx
16293889	nintendo wii	wii,wiiware
16317269	nintendo ds	nintendo ds
16324116	sega mega drive/genesis	sega genesis
16327240		
16336911	super nintendo entertainment system	super nintendo entertainment system
16337878	linux game	microsoft windows,linux,mac os x
16338325	playstation 2	playstation 2,xbox 360,playstation portable
16339588	sega mega drive/genesis	commodore amiga,atari st,dos,sega mega drive
16342993	microsoft windows	microsoft windows
16350187	nintendo wii	wii
16361229	playstation 3	microsoft windows,xbox 360,playstation 3
16368150	nintendo wii	playstation 2,wii,xbox 360,playstation portable,playstation 3
16368219	microsoft windows	microsoft windows
16375609	microsoft windows	windows
16384764		
16385032	playstation 2	arcade game,neo geo (console),neo geo cd,playstation 2
16387177	mac os x	microsoft windows,mac os x
16388256	microsoft windows	microsoft windows
16398001	pc game	pc
16400453	zx spectrum	zx spectrum
16401301	playstation 2	playstation 2,playstation vita
16420801	nintendo wii	wii
16429170	zx spectrum	zx spectrum,amstrad cpc,msx
16429778	zx spectrum	amstrad cpc,dos,commodore 64,zx spectrum
16431731		
16458626	arcade game	arcade game
16460026	xbox 360	xbox 360,microsoft windows,ios,os x,linux,android (operating system),xbox one backwards compatibility
16482656	nintendo ds	personal computer,nintendo ds
16489624	nintendo ds	wii,nintendo ds
16491537	playstation 3	microsoft windows,playstation 3,xbox 360
16491941	nintendo wii	playstation 2,wii,xbox 360,playstation 3
16493802	nintendo ds	personal computer,nintendo ds,playstation 2,playstation 3,wii,xbox 360
16514607	xbox 360	xbox 360
16527771	microsoft windows	microsoft windows
16528039	ms-dos	amiga,amiga cd32,dos
16528189	atari 2600	arcade game,atari 2600
16528939	nintendo wii	microsoft windows,wii,mac os x
16534244		
16537925	microsoft windows	microsoft windows
16574857	browser game	web browser
16579639	nintendo entertainment system	nintendo entertainment system
16580374	nintendo entertainment system	nintendo entertainment system
16580818	microsoft windows	microsoft windows
16588641	nintendo ds	game boy advance,nintendo ds,microsoft windows
16588659	sega mega drive/genesis	sega mega drive
16588932	nintendo ds	wii,nintendo ds
16590930	nintendo ds	nintendo ds
16599307	playstation 3	playstation 3,xbox 360
16605728	nintendo ds	nintendo ds,playstation portable
16613292	sega mega drive/genesis	arcade game,sega mega drive,wii
16614340	microsoft windows	microsoft windows
16616681	nintendo ds	nintendo ds
16625446	playstation 3	playstation 3
16632623	microsoft windows	microsoft windows
16635216	nintendo ds	microsoft windows,xbox 360,playstation portable,nintendo ds,ios
16635693	nec pc-98	nec pc-98,microsoft windows
16650449	xbox 360	xbox 360,ios (apple),android (operating system),microsoft windows
16653524	super nintendo entertainment system snes	sega genesis,super nes
16653766	atari 2600	atari 2600
16658588	playstation	game boy color,game boy advance,playstation (console),microsoft windows
16658877	nintendo gamecube	game boy advance,nintendo gamecube,playstation 2
16658998	game boy advance	game boy advance
16675306	nintendo ds	nintendo ds
16679769	nintendo entertainment system	nintendo entertainment system
16681394	commodore 64	amstrad cpc,atari st,commodore 64,commodore amiga,ms-dos
16682559	apple macintosh	microsoft windows,mac os,linux
16684756	microsoft windows	microsoft windows
16686703	playstation 2	arcade game,playstation 2
16689680	arcade game	arcade game
16699275	microsoft windows	microsoft windows
16701086	mobile game	mobile phone
16701789	playstation 3	pc,playstation,playstation 3,playstation portable,playstation vita,windows
16704615	super nintendo entertainment system	super nintendo entertainment system
16720023	nintendo entertainment system	nintendo entertainment system
16720282	playstation	playstation (console)
16724044	nintendo ds	nintendo ds
16724249	vectrex	vectrex,arcade game
16724764	microsoft windows	microsoft windows
16724981	playstation 3	microsoft windows,playstation 3,xbox 360
16725012	vectrex	arcade game,gce vectrex
16729158	playstation 2	playstation 2,playstation portable
16734664	playstation 2	arcade game,playstation 2
16736933	playstation 3	xbox 360,playstation 3,microsoft windows,ios,blackberry playbook,palm pre,android (operating system),symbian
16739547	playstation 2	arcade game,playstation 2
16743390	arcade game	arcade game
16743506		
16743900	arcade game	arcade game
16753789	playstation 3	playstation 3
16756530	playstation 2	arcade game,playstation 2
16756941	playstation 2	arcade game,playstation 2
16757004	microsoft windows	microsoft windows
16758605	nintendo ds	nintendo ds
16759067	nintendo ds	nintendo ds
16760124	arcade game	arcade game
16772554	playstation 2	playstation 2
16775152	sega saturn	3do interactive multiplayer,sega saturn,playstation (console)
16777639	microsoft windows	microsoft windows
16789605	arcade game	arcade game
16790054	arcade game	arcade game,playstation portable
16800229	playstation 3	playstation 3
16806760	pc game	personal computer
16808776	sega mega drive/genesis	super nintendo entertainment system,sega genesis,game boy,game boy color,game boy advance
16809733	commodore amiga	commodore amiga
16815349	playstation 3	microsoft windows,xbox 360,playstation 3,playstation portable,playstation vita,ios,android (operating system)
16817164	nintendo ds	nintendo ds
16827512	sega mega drive/genesis	amiga 500,amiga 600,mega drive
16839972	nintendo ds	nintendo ds
16857265	xbox 360	xbox 360,xbox live arcade,windows phone 7,ios,microsoft windows
16860709	microsoft windows	microsoft windows
16861849	nintendo ds	nintendo ds
16864582	nintendo wii	microsoft windows,wii,playstation 3,os x
16865964	bbc micro	acorn electron,bbc micro
16870661		
16872809	nintendo ds	nintendo ds
16873850	super nintendo entertainment system snes	snes
16929109	playstation	playstation (console)
16934961	nintendo wii	wii,wiiware
16938706	sega saturn	arcade game,fm towns marty,sega saturn,playstation (console),playstation 2
16939634	nintendo ds	nintendo ds
16953909	nintendo ds	wii,wiiware,nintendo dsi,dsiware,ios (apple)
16955304	playstation	playstation (console),microsoft windows
16972869	nintendo ds	nintendo ds,playstation 2,playstation 3,playstation portable,nintendo wii,xbox 360,playstation 4,xbox one,microsoft windows
16973176	microsoft windows	microsoft windows,ea mobile
16974267	playstation	arcade game,game boy color,playstation (console),neo geo pocket color,nuon (dvd technology),ios (apple)
16974817	zx spectrum	zx spectrum,commodore 64,msx,amstrad cpc
16975517	microsoft windows	microsoft windows
16985594	nintendo ds	microsoft windows,nintendo ds,playstation 2,playstation 3,playstation portable,wii,xbox 360
16986273	nintendo wii	wii,wiiware
16986687	nintendo wii	wii,android (operating system)
16999607	ms-dos	ms-dos
17003412	mac os x	microsoft windows,mac os x
17006490	arcade game	arcade game
17006660	microsoft windows	microsoft windows
17006701	playstation 3	playstation 3,xbox 360
17008715	nintendo ds	nintendo ds
17014402	playstation	playstation (console)
17015116	super nintendo entertainment system snes	super nes,sega genesis
17015873	sega mega drive/genesis	sega genesis
17019642	playstation 3	playstation 3
17021043	xbox 360	xbox 360,xbox live arcade
17032343	microsoft windows	microsoft windows
17036052	zx spectrum	commodore 64,amstrad cpc,msx,zx spectrum,nec pc-8801,nec pc-9801
17037711	microsoft windows	microsoft windows
17037938	mobile game	mobile phone
17054898	turbografx	turbografx-16
17055245		
17056690	nintendo ds	mobile phone,wii,nintendo ds,playstation 2
17063451	nintendo wii	ios,wii,microsoft windows
17064189	arcade game	arcade game
17069410	nintendo ds	microsoft windows,nintendo ds,playstation 2,playstation 3,playstation portable,xbox 360,wii
17079500	sega game gear	sega game gear
17081459	nintendo ds	nintendo ds
17084186	mac os x	macintosh,microsoft windows
17092396	nintendo wii	wii
17104269	ios game	ios,android (operating system)
17104664	nintendo gamecube	gamecube,playstation 2,xbox (console)
17105469	playstation	playstation (console)
17111076	playstation 2	arcade game,playstation 2
17116443	nintendo 3ds	wii,wiiware,nintendo 3ds,nintendo eshop
17122819	nintendo ds	nintendo ds
17123101	nintendo wii	wii,wiiware,iphone os,playstation 3,playstation network
17131686	microsoft windows	microsoft windows
17132703	dvd game	dvd player
17143446	nintendo ds	nintendo ds
17146998	play station 2	play station 2,play station 3
17151980	microsoft windows	microsoft windows
17156477	playstation 2	playstation 2
17160380	nintendo ds	nintendo ds
17167478	super nintendo entertainment system	super nintendo entertainment system
17179811	nintendo ds	wii,nintendo ds
17187395	nintendo ds	nintendo ds
17194529	playstation 3	playstation 3,xbox 360,microsoft windows,mac os x
17198171	nintendo ds	nintendo ds
17201496	xbox 360	xbox 360
17216673	atari 2600	atari 2600
17224120	nintendo ds	nintendo ds
17246225	nokia n-gage	microsoft windows,n-gage (service)
17250119	nintendo wii	wii,wiiware
17255501	nintendo ds	nintendo ds
17256662	playstation	playstation (console)
17256768	nintendo ds	nintendo ds
17260932	ms-dos	commodore amiga,ms-dos
17270807	microsoft windows	microsoft windows
17271597	playstation 3	playstation 3,xbox 360
17274104	pc game	computer,internet
17291373	playstation	3do interactive multiplayer,playstation (console)
17297576	playstation 3	playstation 3,xbox 360,iphone,ipod touch
17308833	playstation 3	playstation 3,xbox 360
17313197	playstation 3	playstation 3,xbox 360
17313208	nintendo ds	nintendo ds
17318775	zx spectrum	commodore vic-20,atari 8-bit family,commodore 64,commodore amiga,zx spectrum
17320171	nintendo ds	microsoft windows,playstation 3,xbox 360,nintendo ds
17339014	sega dreamcast	playstation (console),dreamcast
17349998	playstation	playstation (console)
17354263		
17354569	nintendo ds	nintendo ds,wii,ios (apple)
17356662	playstation 2	playstation 2,xbox (console)
17361735	nintendo wii	wii
17363179	playstation 2	pc,playstation,playstation 2
17366315	sega master system	master system
17369566	nintendo ds	nintendo ds
17380293	sega saturn	3do interactive multiplayer,playstation (console),sega saturn,personal computer,macintosh
17382950	xbox 360	xbox 360
17385860		
17385982	sega mega drive/genesis	sega genesis,super nintendo entertainment system
17386323	sega master system	sega master system
17392118	nintendo wii	microsoft windows,playstation 2,xbox (console),wii
17396137	nintendo wii	wii,wiiware
17409541	playstation 3	playstation 3,xbox 360
17413403	ios game	mobile phone,ios
17430053	wii u	playstation 3,xbox 360,wii u
17431444	mac os x	microsoft windows,mac os x
17442064	nintendo wii	wii
17443745	microsoft windows	microsoft windows,windows 2000,windows xp,windows vista
17444030	linux game	linux,microsoft windows,mac os x
17444540	nintendo ds	nintendo ds
17447188	nintendo ds	nintendo ds,playstation 3,wii,xbox 360
17453989	playstation 2	playstation 2,arcade game
17454150	nintendo wii	nintendo wii
17454235	xbox 360	xbox 360
17455393	nintendo wii	microsoft windows,wii,wiiware
17455714	nintendo wii	wii
17462449	nintendo wii	playstation 2,wii,xbox 360,xbox live arcade,playstation 3,playstation network
17463035	microsoft windows	microsoft windows
17467074	xbox 360	xbox 360,xbox live arcade
17472040	nintendo wii	mobile phone,ios,xbox 360,playstation 3,wii,playstation portable,android (operating system)
17476116	playstation	microsoft windows,playstation (console)
17485906	nintendo wii	wii
17486314	nec pc-98	nec pc-9801
17486601	nintendo ds	wii,nintendo ds
17503361	sega mega drive/genesis	sega mega drive,sharp x68000
17519583	nintendo wii	wii,playstation portable,ios
17528078	zx spectrum	atari st,amiga,amstrad cpc,commodore international,zx spectrum
17530769	nintendo ds	xbox 360,playstation portable,nintendo ds
17540460	nintendo wii	wii,wiiware
17545456	nintendo wii	arcade game,wii
17554402		
17554404	pc game	pc
17562713	zx spectrum	acorn electron,amiga,amstrad cpc,amstrad pcw,apple ii series,atari 8-bit family,atari st,bbc micro,commodore 64,commodore plus/4,enterprise 128,ibm pc,msx,zx spectrum
17573952	nintendo ds	nintendo ds
17586711	super nintendo entertainment system	super nintendo entertainment system
17588477	nintendo wii	wii,wiiware
17590519	playstation 3	playstation 3
17600971	microsoft windows	microsoft windows
17601372	nintendo wii	xbox 360,playstation 3,playstation 2,wii
17609100	arcade game	arcade game
17612463	nintendo wii	playstation 2,playstation 3,playstation portable,wii,xbox 360,mobile phone
17615769	arcade game	arcade game,msx
17616765	nintendo famicom	family computer disk system
17622966	nintendo gamecube	playstation 2,nintendo gamecube,xbox (console)
17637756	sega mega drive/genesis	sega mega drive/genesis
17640719	nintendo ds	playstation 2,wii,nintendo ds
17642793	nintendo ds	nintendo ds
17649209	nintendo wii	wii
17649225	nintendo ds	nintendo ds
17658081	microsoft windows	microsoft windows
17664193	zx spectrum	amiga,commodore 64,atari st,zx spectrum,amstrad cpc
17669896	zx spectrum	arcade game,amiga,amstrad cpc,atari st,commodore 64,dos,zx spectrum
17670519	nintendo entertainment system	nintendo entertainment system
17670706	nintendo wii	game boy color,virtual console
