3do	3do interactive multiplayer
browser game	web browser,internet,internet game,internet explorer 9,web game,webgl,online distribution,browser game (page does not exist),firefox,browser-based,php,internet browser,online and offline,html5,online games,online game,google chrome,plug-in (computing),world wide web,msn messenger,chrome web store,chrome,google+,online,cross-browser,
ti-99	texas instruments ti-99/4a,ti-89,ti-nspire,ti-99/4a,ti 99/4a,ti 99,
tandy 1000	tandy corporation,tandy color computer,
super nintendo entertainment system snes	super nintendo system,snes,super nintendo,super nes,
nintendo entertainment system nes	nes,nintendo,nintendo power (cartridge),nintendo mini classics,
sharp mz	
zeta	magnussoft zeta,
multics	
pc game	personal computer, pc compatible,operating system,ibm personal computer,ibm os/2,central processing unit,unix-like,java (software platform),java platform,hewlett-packard hp 2000,java (sun),java me,java applet,java (programming language),arpanet,next computer,next,nextel,ibm pc,ibm pc dos,ibm pcjr,ibm pc clone,ibm compatible,ibm compatible pc,ibm-pc,ibm pc compatible,ibm pc jr.,ibm xt,unix,sony smc-777 (page does not exist),personal computer game,personal computer games,hp2000,cd-rom,cd rom,floppy disk,cloud computing,gnu/linux,raspberry pi,desura,personal computers (page does not exist),enterprise (computer),simple directmedia layer,bada (operating system),solaris (operating system),computer,pc,fujitsu fm-77 (page does not exist),tk (computing),pcjr,x1 (computer),digital equipment corporation,
dvd game	dvd video,dvd player,dvd,
facebook game	facebook,facebook platform,
vectrex	gce vectrex,
nec pc-88	pc-88,pc-8801,pc 88,pc 8801,pc88,pc8800,nec pc-88va,nec pc-8001,nec pc-8801,nec pc 88,nec pc 8801,nec pc88,nec pc8800,
nec pc-98	pc-98,nec pc-98,pc98,pc9800,pc-9821,nec pc9801,pc9801,pc-9801,nec pc-9801,nec pc-9800,nec pc98,nec pc9800,nec pc-9821,nec pc9801,pc9801,pc-9800,
nec pc-6000	pc-6601,
nec pc-6001	pc-6001,nec pc-6001 mkii,
nec pc-8000	pc-8000 series,pc-8000,pc 8000,nec pc-8000 series,nec pc 8000,
nec pc-fx	pc-fx,
game & watch	game &amp; watch,game and watch,nintendo game and watch,nintendo game & watch
steam game	steamos,steam,valve steam,steam os,steamplay,steam (content delivery),steam (software),
magnavox odyssey2	magnavox odyssey²,magnavox odyssey 2,odyssey²,videopac,
magnavox odyssey	odyssey,
philips cd-i	cdi,cd-i,phillips cd-i,philips,philLips
neo geo	neo-geo (system),neo-geo cd,neo-geo,neo-geo (console),neo geo aes,hyper neo geo 64,neo geo cd,neo-geo aes,hyper neo-geo 64,neo geo (console),neo geo (system),
neo-geo pocket	neo-geo pocket color,neo geo pocket,neo geo pocket color,
neo-geo x	neo geo x,
ipod game	ipod,ipod games,apple ipod,ipod touch,ipod touch game,ipod classic,ipod nano,
nintendo famicom	nintendo family computer,famicom,family computer,family computer disk system,
nintendo super famicom	super famicom,super family computer,nintendo super family computer,
pda game	personal digital assistant,pda,
nuon dvd game	nuon (dvd technology),
homebrew game	homebrew (video games),
nintendo vs. system	vs. system,versus system,nintendo versus,balloon fight,
nintendo 64dd	64dd,n64dd,
nintendo switch	switch
atari 7800	
atari 5200	
amstrad cpc	amstrad cpc plus (page does not exist),amstrad,amstrad cpc 464,cpc,
amstrad pcw	
windows mobile phone	windows phone 7,windows phone 8,windows mobile 2003,windows 10 mobile,windows phone 8.1,windows mobile,
zx spectrum	sinclair zx spectrum,zx spectrum +3,spectrum +3,sinclair spectrum,sinclair zx81,zx81,
windows live messenger	
apple pippin	
apple tv	
famicom disk system	
bbc micro	
sega sc-3000	sc-3000,
sega sg-1000	sg-1000,
sega game gear	game gear,sega gamegear,gamegear,
atari lynx	lynx,lynx (console),
atari jaguar	atari jaguar cd,jaguar,jaguar cd,
sega 32x	32x,
atari falcon	
atari st	atari mega ste,atari ste,
amstrad gx4000	
interactive movie	
playstation move	
playstation home	
playstation network	psn,
playstation vr	
plato network game	plato system,plato,plato network,
gametree tv	gametree tv (page does not exist)
turbografx	turbografx-16,turbografx-cd,turboduo,turbografx cd,turbo duo,turbo cd,turbo grafx 16,turbografx 16,turbocd,pc engine/turbografx 16,pc engine,pc engine gamebox (page does not exist),pc engine super cd-rom²,pc engine cd-rom²,super cd-rom²,nec pc engine,pc engine cd,pc-engine,
google play	google plus,
webos	
camputers lynx	
vic 20	commodore vic-20,vic-20,vic20,
yahoo mobile	yahoo!,yahoo! mobile game,yahoo! mobile,
simulator ride	
pdp-7	pdp 7,
pdp-11	pdp 11/45,pdp 11,pdp 45,
pdp-8	pdp 8,
pdp-9	pdp 9,
pdp-1	pdp 1,
pdp-10	pdp 10,
trs-80	trs-80 color computer,trs-80 coco,trs 80,
wonderswan	wonderswan color,
nokia n-gage	n-gage 2.0,n-gage,ngage,n-gage (device),n-gage (service),
board game	boardgame,tabletop
handheld electronic game	handheld game,handheld tv game,
dedicated console	
online community	
commodore cdtv	cdtv,amiga cdtv,
blackberry game	blackberry os,blackberry playbook,blackberry (appworld) (page does not exist),blackberry,blackberry app world,blackberry tablet os,blackberry 10,
pelican vg pocket	vg pocket
tiger handheld	r-zone,tiger r-zone,r zone,tiger r zone,
collectible card game	card game,trading card game,
onlive game	onlive,
microvision	
kindle fire	kindle,amazon kindle,kindle fire hdx,amazon kindle fire,
htc vive	vive,
oculus rift	oculus,oculus vr,rift,
nvidia shield	shield portable,shield,
roku game	roku,
laserdisc	laserdisc video game,laserdisc game,laser disc,
game wave system	game wave family entertainment system,game wave,
mainframe game	general comprehensive operating system,
nintendo virtual boy	virtual boy,
vhs game	vhs,
nintendo ique	ique,ique player,
colecovision	coleco vision,
coleco adam	adam,
commodore plus 4	plus 4,
adventurevision	adventure vision
symbian os	
acorn electron	
namco system 246	
netbsd	
pl/1	
vector-06c	
tatung einstein	
geforce 9500	
x window system	
oric 1	
commodore 128	
sds sigma 7	
morphos	
xevious	
parodius portable	
dna	
symbian^3	
silicon graphics	
gp2x wiz	
gp32	
nook tablet	
shield android tv	
amazon fire tv	
tv game	
palm pre	
tvos	
emacs lisp	
pioneer laseractive	
webtv	
cassette vision	
taito memories	
pocket pc	
epson qx-10	
mattel aquarius	
lunicus	
net jet	
x68000	
sinclair ql	
palm webos	
sega zone	
i-mode	
hp time-shared basic	
freebsd	
nvidia	
kaypro ii	
direct2drive	
doja	
sh-3 (superh)	
directx	
leapster	
sharp x68000	
os/2 warp 4	
nascom	
z-machine	
sony ericsson xperia play	
mobage	
pravetz computers	
gizmondo	
x11	
hp touchpad	
shield tablet	
gnu emacs	
dsl	
dmca	
powerpc	
symbian	
sharp x1	
amazon.com	
zune	
exidy sorcerer	
midi	
samsung smart tv	
pmd 85	
cp system ii	
rm plc	
oric	
data general nova	
gamestick	
desqview	
tomy tutor	
gnu	
ezweb	ezweb (page does not exist),
apricot pc	
r-zone	
dragon 32	
samsung gear vr	
xperia play	
oric-1	
enterprise 128	
glulx	
game.com	
decsystem-20	
gp2x	
sinclair spectrum	
ovi (nokia)	
nec apc	
warpos	
super a'can	
osvr	
bally astrocade	
cryogenic	
bada	
mixi	
freemium	
kddi	
radeon hd 4000	
playbook	
mips architecture	
hp3000	
scummvm	
laseractive	
nexon america	
mega-tech	
sord m5	
sprint pcs	
arcadia 2001	
aros	
gree	
wine (software)	
qualcomm brew	
x86	
thomson to7	
pc8801	
zx80	
zx81	
spry fox	
smart tv	
sparc	
palm os	
maclisp	
dec alpha	
geforce 2	
fm-towns	
entex adventure vision	
.net framework	
remote play	
maemo	
gog.com	
s60 platform	
pony canyon	
st-v	
analog computer	
telnet	
xerox star	
sempron	
arm architecture	
source port	
acorn archimedes	
dragon computer	
palm (pda)	
msn games	
ron schnell	
dragon 32/64	
ouya	
dvd tv game	
graphic adventure game	
sega ages	
pc booter	
exult	
zeebo	
panzer dragoon orta	
ntt docomo	
commodore 16	
cp system	
memotech mtx	
series 40	
meego	
fujitsu fm-7	
crossover (software)	
gamate	
bounty hunter	
toshiba	
pocketstation	
tcl	
risc os	
palm pda	
pentium 4	
risc pc	
fujitsu fm towns marty	
osborne 1	
fire os	
pandora (console)	
jakks pacific	
commodore plus/4	
fm-7	
intel	
alltel	
xemacs	
pv-1000	
amd	
openvms	
namco museum remix	
escape the room	
chatrooms	
cdtv	
basic	
coin-op	
broadband	
commodore pet	
marble madness	
midlet	
gametap	
foma	
psion 3a	
word game	
fm towns marty	
digiblast	
electronika 60	
j2me	
olpc xo-1	
sega smash pack	
sam coupe	sam coupé
super cassette vision	
supergrafx	
gfwl	
epoch cassette vision	
fangame	
electronic delay storage automatic calculator	
satellaview	
radeon 9000	
blu-ray	
cp/m	
imlac pds-1	
niconico	
playchoice-10	
fm towns	fm towns marty,fm-7,fm-towns,
thomson mo5	
oric atmos	
beos	
carbon (api)	
cyberflix	
dec rainbow	
capcom power system changer	
leap motion	
tapwave zodiac	
naver	
	notice and take down,word filtering,splash damage,video game console,japanese language,radiological,action game,digital chocolate,first touch,first person shooter,simplified chinese characters,japan amusement machinery manufacturers association,2015 electronic entertainment expo,multi-player,video game,sonic's ultimate genesis collection,north america,single player,this claim needs references to reliable sources. (august 2014),this claim needs references to reliable sources. (june 2009),this claim needs references to reliable sources. (july 2007),this claim needs references to reliable sources. (november 2013),video game genre,need for speed most wanted 5-1-0,first-person shooter,cyberpunk,capcom classics collection,role-playing game,free to play,text adventure games,the way you look tonight,united states,freedom of mobile multimedia access,new york city,news,shooter game,text adventure,dirty bomb,intellectual property,interactive fiction,surrealism,london,japan,massive multiplayer online role-playing game,german language,sidewards (page does not exist),traditional chinese characters,platformer,sonic mega collection plus,french language,mmorpg,ea mobile,single-player,official versions of doom,trevor inns (page does not exist),virtual world,david w. bradley,multiplayer,puzzle video game,emulators,role-playing video game,wikt:motas,1337 game design (page does not exist),multiplayer video game,english language,super mario advance,electronic arts,india,mr. driller,association football,docomo's 904i (page does not exist),avatar (virtual reality),pokémon,worldwide,donkey kong jr.,at&amp;t mobility,at&amp;t wireless,writer,cross-platform,origin systems,smartfox server (page does not exist),porting,sonic mega collection,animal crossing (video game),single-player video game,
microsoft windows	windows 98,windows 2000,windows me,windows 3.1,windows xp,windows games,windows game,games for windows,windows 3.0, micro edition,microsoft windows me,microsoft windows vista,windows vista,microsoft windows 95,microsoft windows 98,microsoft windows nt 4.0,microsoft windows nt,microsoft windows 7,games for windows – live,vista,windows 98 se,windows xp sp3,ms windows,windows 3.1x,games for windows live,windows 8,windows 7,windows 9x,windows,windows xp tablet pc edition,windows 95,windows store,windows os,windows runtime,microsoft windows 2000,windows seven,windows rt,windows 3.x,windows ce,microsoft windows xp,windows 10,windows nt,windows nt 4.0,windows 8.1,windows pc,
arcade game	arcade cabinet,arcade,burgertime,dig dug,arcade games,tekken 5,smash tv,video arcade,sega model 2,sega naomi,sega system 24,pole position (video game),video game arcade cabinet,video arcade game,konami classics series: arcade hits,amusement arcade,arcade archives,arcade video game,ms. pac-man,street fighter alpha,daytona usa 2001,rhythm video game,rally-x,space invaders,taito legends 2,gradius collection,moon patrol,
